Date,Open,High,Low,Close,Volume
2021-07-01,20434.55,20574.05,20105.74,20356.45,328993084
2021-07-02,20277.66,20317.88,19660.19,19899.02,386203520
2021-07-05,19889.69,20088.51,19721.72,19792.33,468202788
2021-07-06,19812.45,20065.86,19382.40,19569.89,261846548
2021-07-07,19588.34,19630.61,19092.44,19324.44,389368121
2021-07-08,19292.07,19689.25,19041.35,19651.04,470886915
2021-07-09,19598.48,19847.83,19021.46,19279.27,307936523
2021-07-12,19234.87,19302.41,18579.96,18852.20,471859857
2021-07-13,18789.55,19033.19,18767.54,18844.32,423673873
2021-07-14,18798.37,18922.02,18368.08,18608.64,265071794
2021-07-15,18647.96,18770.22,18204.80,18471.78,313962968
2021-07-16,18500.58,18693.78,18147.61,18233.15,458003533
2021-07-19,18232.62,18473.67,18182.72,18300.38,481546469
2021-07-20,18336.88,18608.38,18224.57,18577.63,275480097
2021-07-21,18550.17,18821.30,18217.01,18313.98,433148565
2021-07-22,18252.01,18523.58,18066.87,18436.14,478336199
2021-07-23,18422.95,18937.47,18201.36,18756.69,475195601
2021-07-26,18791.57,18855.08,18247.48,18510.44,483693439
2021-07-27,18544.93,18635.45,18323.31,18338.00,298909602
2021-07-28,18284.42,18837.08,18213.23,18625.80,498733280
2021-07-29,18566.40,18688.83,18395.94,18605.92,281800865
2021-07-30,18542.56,18938.31,18350.04,18743.95,298711743
2021-08-02,18780.19,19119.89,18615.78,19119.54,490029082
2021-08-03,19058.24,19140.82,18839.55,18998.05,419934516
2021-08-04,19035.22,19191.61,18687.51,18808.80,469413702
2021-08-05,18832.34,19110.48,18783.24,18888.56,538070396
2021-08-06,18839.09,18950.32,18387.37,18642.98,379781321
2021-08-09,18673.47,19049.54,18544.23,18992.57,351415603
2021-08-10,19010.04,19226.05,18584.37,18742.66,389843179
2021-08-11,18776.35,19008.39,18285.59,18509.73,467848826
2021-08-12,18540.35,18634.36,18148.62,18263.89,505932399
2021-08-13,18267.70,18473.31,17813.11,17940.53,348537508
2021-08-16,17985.73,18215.92,17860.21,18146.09,451174029
2021-08-17,18218.13,18372.72,18214.52,18367.86,397132661
2021-08-18,18336.39,18836.71,18328.71,18566.44,397756492
2021-08-19,18569.42,18715.10,17959.59,18216.67,473278593
2021-08-20,18153.22,18447.62,18083.55,18362.50,420707517
2021-08-23,18344.62,18481.43,18061.45,18067.60,361598893
2021-08-24,17995.45,18245.26,17709.79,17743.88,290183670
2021-08-25,17739.34,17924.28,17648.50,17731.81,443559879
2021-08-26,17781.67,18388.80,17715.90,18133.93,367078066
2021-08-27,18161.91,18230.89,17576.12,17830.34,364213471
2021-08-30,17844.23,17925.68,17540.70,17585.39,399571340
2021-08-31,17624.62,17697.88,17186.14,17292.36,457316883
2021-09-01,17247.15,17472.81,17146.16,17356.48,392290556
2021-09-02,17417.01,17738.28,17369.67,17486.39,484349425
2021-09-03,17479.53,17740.21,17148.03,17200.11,276955826
2021-09-06,17202.52,17240.85,16911.37,16919.63,520193263
2021-09-07,16895.36,17046.21,16766.09,16856.16,398907167
2021-09-08,16850.89,17237.26,16799.95,17035.92,419902587
2021-09-09,17051.80,17190.78,16856.97,17128.30,386772035
2021-09-10,17071.16,17562.63,17046.75,17389.37,266574139
2021-09-13,17331.13,17613.30,17314.20,17447.56,349001611
2021-09-14,17434.34,17495.27,16891.78,17131.61,447546231
2021-09-15,17197.42,17334.62,17037.77,17301.58,387968790
2021-09-16,17266.99,17613.40,17038.58,17397.67,516650827
2021-09-17,17330.40,17484.61,17120.90,17406.67,303072030
2021-09-20,17422.23,17531.51,17152.39,17384.88,456361513
2021-09-21,17438.85,17563.81,17100.73,17216.43,520128422
2021-09-22,17182.49,17472.02,17097.80,17364.84,341082173
2021-09-23,17339.43,17521.23,17335.64,17488.03,271761337
2021-09-24,17458.41,17595.12,17028.88,17287.36,279755390
2021-09-27,17315.44,17690.61,17211.41,17546.66,504139433
2021-09-28,17513.50,17603.63,17147.88,17316.45,510881859
2021-09-29,17321.07,17712.55,17302.66,17604.36,255683688
2021-09-30,17539.92,17826.75,17511.47,17604.56,480060954
2021-10-01,17618.85,17659.06,17256.34,17378.34,462588704
2021-10-04,17320.47,17725.56,17156.22,17506.89,527690023
2021-10-05,17560.41,17823.75,17318.43,17700.00,485832443
2021-10-06,17662.97,18006.43,17626.44,17991.02,448121818
2021-10-07,18058.48,18313.68,17928.68,18218.98,281713980
2021-10-08,18157.18,18310.61,17858.59,18082.31,298248066
2021-10-11,18091.82,18107.01,18036.68,18064.48,307917158
2021-10-12,18107.39,18376.99,17907.07,18014.74,481765486
2021-10-13,17993.94,18470.27,17987.40,18264.48,263729943
2021-10-14,18293.17,18553.95,18039.56,18408.24,302577728
2021-10-15,18336.30,18821.58,18093.82,18691.11,515016879
2021-10-18,18734.98,18933.55,18418.82,18556.61,488497621
2021-10-19,18601.90,18925.26,18460.15,18739.43,547355033
2021-10-20,18684.62,18789.00,18546.66,18676.35,391894539
2021-10-21,18734.08,18807.28,18438.87,18554.49,312187672
2021-10-22,18534.10,18604.75,18027.44,18272.25,527370954
2021-10-25,18266.88,18503.45,18044.09,18164.28,477703480
2021-10-26,18118.59,18130.48,17740.44,17949.64,460497516
2021-10-27,17882.77,18127.75,17381.29,17622.63,533688245
2021-10-28,17621.10,17683.15,17285.04,17327.05,544110651
2021-10-29,17376.95,17727.00,17208.77,17707.04,364366905
2021-11-01,17741.24,17987.10,17663.91,17863.65,272043826
2021-11-02,17837.09,17949.10,17493.50,17712.68,530520928
2021-11-03,17766.79,17902.27,17523.08,17762.24,436897230
2021-11-04,17719.05,17968.82,17620.02,17884.48,455765303
2021-11-05,17851.77,17881.78,17350.37,17591.08,423169941
2021-11-08,17608.80,17844.82,17582.63,17718.89,482001228
2021-11-09,17729.01,18064.74,17476.92,17940.31,472175086
2021-11-10,17955.08,18298.31,17913.68,18076.60,341653348
2021-11-11,18051.60,18078.28,17461.61,17706.43,448964539
2021-11-12,17636.31,17695.88,17342.74,17577.69,270023775
2021-11-15,17526.03,17572.20,17277.89,17569.60,376584135
2021-11-16,17638.91,17764.05,17509.14,17561.82,498457463
2021-11-17,17591.43,17654.68,17436.56,17450.71,421820518
2021-11-18,17479.37,17622.86,17104.06,17353.53,364088242
2021-11-19,17336.89,17356.65,16941.85,17174.95,470536784
2021-11-22,17119.16,17125.66,16714.87,16950.60,302458117
